,DE,FR,IT,ES,NL,CH,UK,PL,SE,NO,BE,AT,PT,DK,FI,IE
2005-01-31,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,
2005-03-31,,,,,,,,,,,,,,,,
2005-04-30,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,
2005-06-30,,,,,,,,,,,,,,,,
2005-07-31,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,,,,,,,,,
2005-10-31,,,,,,,,,,,,,,,,
2005-11-30,,,,,,,,,,,,,,,,
2005-12-31,-0.20707785955822952,-0.23104043278287997,-0.577485132363971,-0.40751070329737116,-0.27100398312926094,0.4856040806662881,-0.3765629392145957,-0.9179914282777731,-0.1345103473665534,-0.8176344957846423,-0.4883007066088078,-0.36319251597295454,-0.25439959054182915,-0.4961890763331594,-0.426428921231723,-0.25630015432543335
2006-01-31,-0.2100789953154464,-0.1938433530857359,-0.44424775394721505,-0.3801083828862119,-0.18388281682278165,0.5849058620493072,-0.6192740660746827,-1.0761890676245933,-0.11658891775301079,-0.8605900298694958,-0.394289942143238,-0.29152198610513647,-0.12853826970733934,-0.3934018627939002,-0.3124510043088411,-0.15805160974402804
2006-02-28,0.00808803475335355,-0.06336008812711741,-0.15517512270755068,-0.16066366622655698,0.014569234975061978,0.610115556082223,-0.5622528999636509,-1.0443062565548846,0.14472590050570464,-0.5824538544544318,-0.15290363694948816,-0.06968294957871837,0.08034240670331416,-0.06203101277788103,-0.08009859448867439,0.03687383826939537
2006-03-31,0.003935912849921388,-0.07466915606193514,-0.2380868665437297,-0.16406075844403606,0.0016578006124223052,0.3893012595091904,-0.3913942302690833,-0.8641217784086641,0.15158060289366954,-0.5970232656193528,-0.12811950766196772,-0.08690507982827021,0.07417314840821393,-0.09249007077732745,-0.09723355316719562,0.015194360045488147
2006-04-30,0.1905912389846795,0.12844221368137215,-0.1392983201074731,-0.011601287027964603,0.1917608063251415,0.2887764475864987,-0.20110421936508438,-0.5568959638986096,0.16345427837508944,-0.22396188622163163,0.08223836783866896,0.02507389998838798,0.2650289260070023,0.16248014477069234,0.07921936605421434,0.20638546106264563
2006-05-31,0.42557758915465216,0.34902801689596086,0.06371423527235871,0.1859404817843614,0.38539500653626213,0.2975559210978937,-0.02000342173846477,-0.21377159929278736,0.2685849931255217,0.05262674161071444,0.3159241261353686,0.3426461163204508,0.4712001884594162,0.37094906645018605,0.2719400648987058,0.3918586063095504
2006-06-30,0.403980735698388,0.3707702172574103,0.05480236023890673,0.10273228440547776,0.43373923997060854,0.5996336859851497,0.10678777540824103,-0.06367213619750828,-0.004077847897150778,0.31979924718279823,0.28471135890750654,0.3192538534887301,0.5805035183152571,0.281457513177923,0.43282192462748276,0.4607602445409823
2006-07-31,0.3343575197236535,0.2583960966978622,0.01377370192883059,0.106398690850996,0.20385255325942922,0.5450162027941431,0.0442980641859368,0.06927722217480708,0.09607581723454614,0.40366130599928557,0.23864915243386814,0.29031507180111416,0.3643642618845369,0.2545526983966795,0.4804054037107836,0.3868012157737018
2006-08-31,0.2129463140475892,0.12706584000387347,-0.002669986006641231,0.07327989481347214,0.0855923342055528,0.5070512232451987,-0.022708624376654177,-0.04324617980090334,-0.04273951669078456,0.16307698746537921,0.1488844112861042,0.1920779123934959,0.1831319395318176,0.11768724394754393,0.33613255945452775,0.2335268390477486
2006-09-30,0.12673014075060024,0.03761406705980389,-0.06922328660044111,0.04525217478368199,-0.03393912906909734,0.30181322862273446,-0.042341354110588536,-0.2033566174367306,-0.12553391376657516,0.16126061201869407,0.03448167834790556,0.10382755374973374,0.08500282871765305,-0.001250140399256273,0.249464945150614,0.019848374799427918
2006-10-31,-0.10153953836779758,-0.17103573300954122,-0.29854048902654345,-0.1555583128269981,-0.2553488524507618,0.28485724234092696,-0.14618318394602803,-0.5893120946546939,-0.40735197967010794,0.007655773960139242,-0.18119758556926707,-0.09686514380577468,-0.1125759482487572,-0.12736188272357132,0.04637564443771166,-0.24867759909572074
